,ZIP Code,SAFMR 0BR,SAFMR 1BR,SAFMR 2BR,SAFMR 3BR,SAFMR 4BR,Total Population,Median Age,Percent Males,Percent Females,"Percent Race, White","Percent Race, Black","Percent Race, Native or Alaskan","Percent Race, Asian","Percent Race, Native Hawaiian or Pacific Islander","Percent Race, Two or more races","Percent Race, Hispanic or Latino",Percent speak another language at home,Percent never married,Percent married,Percent divorced,Percent widowed,Percent less than high school, Percent high school graduate,Percent some college or associates,Percent college graduate,Percent graduate degree,Median income in past year,"Percent, 100 poverty status","Percent, 100 TO 149 poverty status","Percent, 150 poverty status","Total population, born in state of residence",Percent born in state of residence,RES_RATIO,State,Total Gender,Region
17257,78254,1170,1340,1630,2070,2530,78865,32.5,51.7,48.3,53.4,5.7,0.7,3.0,0.1,28.0,53.7,26.0,29.2,57.7,10.6,2.5,5.2,15.4,35.3,29.7,14.4,55976,4.2,4.4,91.5,44633,56.59417992772459,1.0,TX,100.0,SW
6731,79925,780,960,1140,1590,1940,40241,33.6,49.3,50.7,40.4,2.9,0.7,1.3,0.1,38.5,81.3,63.8,38.6,41.0,14.3,6.1,15.3,24.7,33.7,18.2,8.1,30739,18.7,9.4,71.8,25969,64.53368455058273,1.0,TX,100.0,SW
8437,77011,740,810,960,1280,1630,15681,40.3,52.4,47.6,29.8,4.0,0.6,0.8,0.0,28.6,88.1,76.2,41.8,39.5,12.2,6.4,40.6,29.2,20.5,7.0,2.7,29505,20.5,13.8,65.7,9307,59.35208213761878,1.0,TX,100.0,SW
14885,85390,910,990,1180,1650,1880,9881,64.2,46.7,53.3,93.7,0.7,1.1,0.2,0.0,3.6,7.2,6.9,13.4,60.8,16.3,9.6,3.7,30.3,31.5,18.0,16.6,36463,14.5,7.5,78.0,2186,22.123266875822285,1.0,AZ,100.0,SW
13867,73064,910,960,1190,1590,1800,27620,39.8,49.0,51.0,77.8,2.6,2.6,2.4,0.3,10.8,10.0,7.3,22.0,58.4,14.1,5.5,7.1,29.3,34.5,20.4,8.7,48525,7.0,3.1,89.9,16597,60.090514120202755,1.0,OK,100.0,SW
382,87121,780,960,1160,1650,1980,76135,31.2,49.7,50.3,34.5,2.4,4.4,1.5,0.2,31.8,81.6,47.1,43.5,37.8,14.5,4.3,19.9,34.4,32.7,9.7,3.2,31756,21.8,9.3,68.9,48753,64.03493793918697,1.0,NM,100.0,SW
14817,85254,1810,1970,2340,3210,3650,46655,45.3,49.8,50.2,78.8,0.6,0.4,9.4,0.1,8.2,8.6,15.1,24.1,59.4,11.5,4.9,3.4,12.3,24.1,35.6,24.7,57894,5.2,2.6,92.2,13867,29.722430607651912,1.0,AZ,100.0,SW
328,87008,1150,1420,1720,2440,2930,2338,52.6,43.4,56.6,86.4,0.0,0.3,0.5,0.0,10.6,16.0,9.3,21.9,58.9,11.5,7.7,2.5,15.4,28.9,22.9,30.3,55000,11.1,7.4,81.6,843,36.056458511548335,1.0,NM,100.0,SW
5481,76116,1030,1150,1360,1800,2230,49685,34.7,49.1,50.9,58.7,20.7,0.2,2.0,0.0,11.1,26.6,21.1,37.2,35.9,19.8,7.1,12.1,26.0,29.4,21.1,11.4,34913,22.5,11.5,66.0,30686,61.761094897856495,1.0,TX,100.0,SW
13936,74872,650,680,840,1120,1310,3102,38.7,50.3,49.7,72.6,0.2,8.3,0.0,0.0,18.1,5.3,2.5,21.8,56.5,16.1,5.6,10.3,41.2,26.4,17.2,4.9,33977,17.6,11.8,70.6,2184,70.40618955512572,1.0,OK,100.0,SW
5253,75087,1470,1550,1830,2310,3010,41786,38.4,50.5,49.5,73.5,7.2,0.8,4.0,0.3,11.9,16.5,12.4,24.7,61.9,9.0,4.4,4.0,14.5,31.5,31.8,18.2,59245,3.5,1.9,94.6,24537,58.720624132484566,1.0,TX,100.0,SW
19212,74016,590,660,840,1100,1290,5787,38.1,49.9,50.1,66.0,0.1,20.7,0.8,0.0,12.4,2.3,2.1,25.7,50.2,17.2,6.9,13.2,44.5,28.9,7.8,5.5,29050,15.9,16.1,67.9,3944,68.15275617763955,1.0,OK,100.0,SW
1321,78661,990,1120,1310,1690,1980,658,27.7,46.2,53.8,64.3,21.6,6.1,0.0,0.0,8.1,52.1,15.1,33.3,33.9,25.8,7.1,8.9,70.4,13.6,6.1,1.1,27331,33.1,2.3,64.6,591,89.8176291793313,1.0,TX,100.0,SW
1364,78746,1620,1790,2100,2700,3120,28268,42.4,49.3,50.7,79.7,1.5,0.2,8.7,0.0,6.9,11.3,15.3,26.7,62.2,8.5,2.7,0.8,3.8,12.2,44.3,38.8,87630,4.1,1.5,94.3,13098,46.33507853403142,1.0,TX,100.0,SW
11515,79412,660,760,920,1290,1510,15275,34.7,48.8,51.2,48.6,11.2,0.5,1.0,0.1,25.0,60.7,33.3,42.1,30.7,20.0,7.3,23.3,31.5,29.8,9.2,6.1,28074,20.8,18.2,61.0,12713,83.22749590834697,1.0,TX,100.0,SW
8558,77384,1210,1280,1530,2020,2610,24148,39.3,48.7,51.3,69.9,5.8,0.3,5.9,0.0,13.6,19.6,21.4,23.4,61.1,10.5,5.0,1.9,12.6,29.9,34.7,21.0,59064,3.0,4.2,92.9,10762,44.56683783336094,1.0,TX,100.0,SW
8625,77539,990,1060,1260,1660,2150,47164,35.8,48.5,51.5,60.7,9.7,0.4,2.5,0.0,18.9,37.1,27.0,32.6,52.0,11.3,4.1,16.1,23.7,34.1,19.2,7.0,45173,12.2,8.1,79.6,30524,64.71885336273428,1.0,TX,100.0,SW
5453,76059,850,960,1130,1500,1850,5333,32.1,46.8,53.2,72.2,2.7,0.6,6.4,0.0,13.4,32.4,30.8,36.2,41.2,12.8,9.9,17.1,29.4,25.8,17.7,10.0,23688,16.0,20.7,63.3,2824,52.95330958184886,1.0,TX,100.0,SW
10882,75640,920,990,1210,1620,1800,6338,35.1,50.6,49.4,84.1,0.3,0.1,0.1,0.2,13.8,7.8,5.6,25.5,54.6,15.3,4.7,6.1,28.0,44.9,11.6,9.4,37964,6.6,5.4,88.0,4998,78.85768381192804,1.0,TX,100.0,SW
19746,76642,590,690,830,1180,1410,6226,39.7,52.4,47.6,61.8,21.5,0.0,1.3,0.0,12.5,16.0,11.9,21.8,53.8,15.8,8.5,13.8,26.2,40.2,16.2,3.6,33027,13.7,10.9,75.5,4996,80.24413748795374,1.0,TX,100.0,SW
10918,75681,650,650,860,1080,1220,2475,47.2,46.8,53.2,75.9,16.0,0.2,0.0,0.0,6.9,4.4,3.1,25.0,53.2,13.8,8.0,8.0,34.5,38.4,12.3,6.8,37212,18.9,11.8,69.4,2011,81.25252525252526,1.0,TX,100.0,SW
