,ZIP Code,SAFMR 0BR,SAFMR 1BR,SAFMR 2BR,SAFMR 3BR,SAFMR 4BR,Total Population,Median Age,Percent Males,Percent Females,"Percent Race, White","Percent Race, Black","Percent Race, Native or Alaskan","Percent Race, Asian","Percent Race, Native Hawaiian or Pacific Islander","Percent Race, Two or more races","Percent Race, Hispanic or Latino",Percent speak another language at home,Percent never married,Percent married,Percent divorced,Percent widowed,Percent less than high school, Percent high school graduate,Percent some college or associates,Percent college graduate,Percent graduate degree,Median income in past year,"Percent, 100 poverty status","Percent, 100 TO 149 poverty status","Percent, 150 poverty status","Total population, born in state of residence",Percent born in state of residence,RES_RATIO,State,Total Gender,Region
10311,17504,900,1030,1290,1640,1730,99,60.6,40.4,59.6,59.6,0.0,0.0,0.0,0.0,40.4,0.0,0.0,25.3,74.7,0.0,0.0,0.0,57.9,19.7,2.6,19.7,13565,0.0,2.0,98.0,82,82.82828282828282,1.0,PA,100.0,NE
17869,18705,660,770,940,1220,1320,15595,38.9,50.5,49.5,70.5,4.3,0.0,0.5,0.7,10.6,22.2,21.0,39.0,41.5,11.4,8.1,11.9,33.2,31.5,17.1,6.3,32055,18.8,16.0,65.2,10847,69.55434434113498,1.0,PA,100.0,NE
2058,14817,1040,1120,1310,1660,1760,2811,37.8,48.6,51.4,82.7,1.7,0.0,2.2,0.0,10.9,2.4,6.0,41.2,38.1,13.9,6.7,2.0,19.8,21.1,27.9,29.1,55615,9.4,3.0,87.5,1773,63.073639274279614,1.0,NY,100.0,NE
19484,13454,690,690,870,1060,1250,754,44.2,44.2,55.8,93.5,0.0,0.0,0.0,0.0,5.8,1.1,1.0,30.7,38.6,27.4,3.3,5.7,43.3,37.7,8.3,4.9,32054,11.2,6.7,82.1,689,91.3793103448276,1.0,NY,100.0,NE
2046,13850,860,900,1140,1490,1620,23675,41.9,49.5,50.5,78.9,2.2,0.1,11.7,0.0,5.0,5.3,15.6,30.7,52.7,10.1,6.5,6.2,20.9,27.8,22.4,22.7,40985,13.9,6.6,79.4,16276,68.74762407602957,1.0,NY,100.0,NE
13497,10588,1820,1850,2230,2770,3060,3081,36.9,44.3,55.7,86.5,1.9,0.0,7.3,0.0,2.0,11.6,21.1,32.9,47.0,6.4,13.7,11.5,17.6,19.0,30.3,21.6,70410,0.9,6.1,93.0,2285,74.16423239208049,1.0,NY,100.0,NE
15075,15322,810,850,1030,1300,1430,1656,42.4,48.1,51.9,95.4,1.3,0.0,0.0,0.0,3.3,2.4,0.4,33.0,49.3,9.0,8.7,6.0,32.9,34.1,18.8,8.3,34570,8.1,8.7,83.2,1297,78.32125603864735,1.0,PA,100.0,NE
14989,15083,820,860,1040,1320,1450,1061,57.5,51.2,48.8,98.0,0.0,0.1,0.0,0.0,1.9,0.0,0.7,31.0,42.4,6.6,19.9,12.5,37.8,21.4,14.1,14.1,36575,9.3,5.7,85.1,862,81.24410933081998,1.0,PA,100.0,NE
10353,17569,890,1030,1290,1640,1740,7136,38.8,50.1,49.9,94.7,1.1,0.0,1.1,0.1,1.8,4.6,9.0,21.3,65.4,9.1,4.2,14.8,39.2,23.7,15.4,6.9,46108,7.0,1.6,91.4,5690,79.73654708520179,1.0,PA,100.0,NE
13378,10012,3190,3260,3680,4620,4980,21846,35.5,47.8,52.2,69.0,3.3,0.3,17.3,0.0,6.8,10.5,23.7,59.6,30.9,7.0,2.4,4.0,4.9,7.8,49.6,33.7,85964,11.0,4.6,84.4,5976,27.355122219170557,1.0,NY,100.0,NE
7518,12838,810,920,1150,1490,1540,699,43.9,56.5,43.5,94.6,0.0,0.0,0.0,0.0,5.4,2.7,0.9,24.9,63.4,9.9,1.8,5.0,38.1,39.4,13.3,4.2,37566,10.4,0.7,88.8,571,81.68812589413447,1.0,NY,100.0,NE
7514,12832,650,770,960,1250,1300,6395,50.3,50.0,50.0,89.7,2.4,0.1,2.0,0.0,5.8,2.0,1.6,32.4,47.1,10.1,10.5,11.2,39.6,30.6,9.4,9.2,32949,11.3,10.7,78.0,4293,67.130570758405,1.0,NY,100.0,NE
10319,17517,770,880,1110,1410,1490,15045,39.4,51.1,48.9,93.2,0.4,0.0,0.5,0.0,3.3,4.8,9.7,25.5,59.8,9.2,5.5,13.0,43.0,22.2,16.0,5.7,40562,5.5,5.2,89.3,11886,79.00299102691925,1.0,PA,100.0,NE
13240,11581,1500,1880,2250,2890,3180,22652,39.4,47.4,52.6,41.9,18.2,0.1,16.9,0.0,10.4,18.6,35.5,32.3,56.8,6.0,4.9,8.1,21.1,23.2,27.9,19.7,55084,6.1,3.0,90.9,14184,62.61698746247571,1.0,NY,100.0,NE
15558,12553,1140,1250,1600,2040,2260,27300,40.6,48.4,51.6,61.0,14.0,0.5,4.7,0.0,9.5,26.9,24.2,32.9,49.5,11.3,6.3,10.4,26.5,28.0,18.0,17.0,45657,6.2,9.2,84.6,18675,68.4065934065934,1.0,NY,100.0,NE
13320,11797,2310,2880,3450,4430,4870,9338,50.1,47.4,52.6,77.9,1.7,0.0,15.5,0.0,4.0,2.3,23.1,19.3,62.1,6.5,12.1,5.0,13.9,15.3,35.4,30.4,62567,5.7,1.7,92.6,7010,75.0696080531163,1.0,NY,100.0,NE
14705,19806,1050,1190,1430,1740,2020,9934,49.8,45.3,54.7,78.3,11.0,0.1,1.3,0.0,5.0,4.3,6.3,41.8,33.3,15.9,9.0,2.4,13.6,13.3,34.9,35.9,70883,10.9,3.0,86.1,4321,43.49708073283672,1.0,PA,100.0,NE
14935,15014,750,790,950,1210,1320,3109,48.2,45.8,54.2,91.3,6.2,0.0,0.0,0.0,2.0,3.0,3.1,37.3,30.7,19.1,12.9,6.8,43.3,34.8,11.9,3.2,35238,11.8,8.7,79.5,2842,91.41202959150851,1.0,PA,100.0,NE
8143,21756,660,760,990,1410,1570,3172,45.7,51.2,48.8,96.4,0.0,0.0,0.6,0.0,2.9,0.5,2.4,26.3,58.5,10.8,4.4,8.4,38.8,23.9,11.8,17.1,56595,2.6,1.5,95.8,2039,64.281210592686,1.0,MD,100.0,NE
14650,19444,1510,1700,2050,2490,2900,11070,43.8,47.7,52.3,88.0,2.9,0.0,5.0,0.0,3.9,1.1,5.8,25.1,58.6,8.7,7.6,1.8,12.5,17.4,31.7,36.6,80689,1.6,1.8,96.6,8445,76.28726287262873,1.0,PA,100.0,NE
16303,14517,660,750,940,1160,1270,2588,39.4,53.2,46.8,92.9,1.5,0.0,0.0,0.0,5.2,3.1,5.0,31.9,45.9,15.4,6.7,4.8,38.2,30.8,18.1,8.2,35950,17.9,11.1,71.0,2335,90.2241112828439,1.0,NY,100.0,NE
14707,19808,1130,1270,1530,1860,2160,38334,43.6,47.7,52.3,71.2,8.1,0.1,8.0,0.0,6.8,14.4,20.3,31.7,49.3,12.2,6.9,6.7,28.2,24.0,24.4,16.7,49025,5.6,4.3,90.1,19601,51.13215422340481,1.0,PA,100.0,NE
15774,19533,730,860,1090,1360,1460,8823,47.1,58.2,41.8,91.0,2.7,1.2,0.5,0.0,3.8,5.7,5.6,28.6,51.4,13.1,6.9,8.4,39.3,26.0,19.3,6.9,37209,4.1,7.4,88.5,7470,84.66507990479428,1.0,PA,100.0,NE
14632,19375,1020,1150,1390,1690,1970,272,60.4,52.9,47.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,89.1,7.9,0.0,0.0,3.1,46.3,7.0,43.7,100489,0.0,0.0,100.0,148,54.41176470588235,1.0,PA,100.0,NE
16337,14592,700,790,990,1200,1330,119,69.1,47.9,52.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,76.5,15.1,0.0,0.0,39.4,36.7,14.7,9.2,27153,0.0,0.0,100.0,109,91.5966386554622,1.0,NY,100.0,NE
15085,15345,820,860,1040,1320,1450,1540,44.9,53.8,46.2,89.2,1.6,0.8,0.0,0.0,8.4,4.9,2.0,18.6,57.9,8.5,15.0,7.5,46.1,22.6,10.9,12.8,36176,12.5,11.4,76.1,1218,79.0909090909091,1.0,PA,100.0,NE
16335,14589,780,880,1100,1340,1480,7904,40.8,50.7,49.3,91.6,2.4,0.0,0.0,0.0,4.9,5.9,5.9,27.7,58.6,10.2,3.5,6.0,28.0,37.3,17.4,11.2,40236,7.6,6.3,86.1,6693,84.67864372469636,1.0,NY,100.0,NE
18696,13202,950,1060,1310,1610,1870,6842,29.0,54.0,46.0,34.8,42.7,1.6,5.6,0.0,10.7,17.3,22.1,68.3,17.0,12.0,2.6,22.3,24.8,16.5,17.4,19.0,25797,52.6,4.1,43.3,4354,63.63636363636363,1.0,NY,100.0,NE
20412,10705,1310,1520,1850,2290,2540,40390,38.6,49.6,50.4,26.4,16.8,1.1,4.9,0.0,16.5,62.3,61.2,39.4,38.1,17.8,4.6,20.8,25.8,23.3,15.9,14.2,34049,18.0,11.1,70.9,20043,49.62366922505571,1.0,NY,100.0,NE
16356,14622,830,940,1170,1420,1570,12794,46.3,49.8,50.2,79.2,6.5,0.1,6.1,0.3,5.1,9.9,11.2,27.8,54.7,12.8,4.7,8.8,27.1,30.3,18.2,15.7,45826,10.9,5.2,83.9,10664,83.35157104892919,1.0,NY,100.0,NE
14520,19040,1160,1310,1580,1920,2230,21866,40.2,47.9,52.1,85.5,3.7,0.0,2.9,0.0,2.7,4.3,7.1,32.7,52.4,8.9,5.9,7.5,26.3,28.6,23.0,14.6,49290,5.7,3.9,90.4,17285,79.04966614835817,1.0,PA,100.0,NE
14467,18935,1050,1190,1430,1740,2020,413,33.3,53.8,46.2,76.3,0.0,0.0,19.6,0.0,4.1,0.0,15.7,36.0,53.3,6.9,3.8,7.2,51.9,8.1,21.4,11.3,39024,0.0,0.0,100.0,326,78.93462469733656,1.0,PA,100.0,NE
18535,16841,940,950,1100,1400,1480,6346,40.1,54.6,45.4,93.1,0.1,1.2,0.0,0.0,4.3,3.8,13.4,26.7,56.4,10.9,6.0,11.8,44.9,26.1,13.1,4.2,37104,13.2,9.7,77.0,5628,88.68578632209265,1.0,PA,100.0,NE
20803,16124,630,640,820,1110,1170,1656,41.0,49.8,50.2,97.7,0.4,0.0,0.0,0.0,1.6,1.2,13.9,26.5,54.4,10.5,8.7,17.6,47.0,20.1,11.4,3.8,34393,18.4,17.6,64.0,1375,83.03140096618358,1.0,PA,100.0,NE
15331,16263,600,690,900,1100,1350,362,43.6,45.6,54.4,98.1,0.0,1.9,0.0,0.0,0.0,1.9,0.0,19.4,61.6,16.0,3.0,12.8,43.6,42.4,1.2,0.0,29630,1.9,38.1,59.9,340,93.92265193370166,1.0,PA,100.0,NE
13525,10987,1820,1850,2110,2660,2860,4041,49.6,50.5,49.5,73.2,8.1,0.0,3.4,0.0,10.4,12.1,17.7,25.6,58.9,8.5,7.0,3.7,25.3,22.2,24.3,24.6,66100,16.8,2.6,80.6,1846,45.68176194011384,1.0,NY,100.0,NE
16353,14619,880,1000,1250,1520,1680,14223,36.5,46.7,53.3,21.5,68.8,0.1,1.4,0.0,7.5,6.0,8.3,52.4,27.7,14.5,5.4,9.3,29.4,30.0,18.3,13.1,36906,16.6,5.9,77.4,10188,71.63045770934401,1.0,NY,100.0,NE
1581,21224,1220,1410,1740,2260,2580,46949,33.8,48.7,51.3,59.1,15.8,0.8,3.6,0.0,7.1,21.3,24.3,47.3,37.6,10.9,4.3,14.7,19.8,15.6,27.2,22.8,53893,17.7,8.6,73.7,23119,49.24279537370338,1.0,MD,100.0,NE
2035,13795,770,810,1030,1350,1460,3180,44.6,42.9,57.1,78.3,4.0,0.0,2.8,0.0,5.1,14.1,12.7,29.1,53.1,14.0,3.9,3.5,41.7,42.2,8.1,4.5,42717,16.0,3.4,80.6,2263,71.16352201257861,1.0,NY,100.0,NE
15106,15413,730,770,930,1190,1290,456,49.9,38.4,61.6,73.5,5.5,0.0,0.0,0.0,21.1,0.0,0.0,28.1,64.8,2.4,4.7,9.1,49.5,17.6,3.1,20.7,24049,27.6,0.0,72.4,378,82.89473684210526,1.0,PA,100.0,NE
20377,10543,1730,2010,2440,3020,3350,21022,40.5,50.9,49.1,64.0,5.4,1.4,5.1,0.0,10.7,27.2,40.4,31.0,54.0,9.4,5.6,10.8,15.3,17.2,29.7,26.9,56301,7.4,3.6,89.1,11315,53.82456474169918,1.0,NY,100.0,NE
13522,10984,2140,2190,2470,3110,3350,2760,36.9,52.8,47.2,67.8,7.5,0.0,4.2,0.0,9.1,29.6,21.1,30.7,54.6,2.5,12.2,6.8,30.6,24.6,26.8,11.1,54904,2.4,1.5,96.1,2215,80.2536231884058,1.0,NY,100.0,NE
13253,11710,1580,1970,2360,3030,3330,34459,41.4,50.6,49.4,81.6,2.2,0.2,5.1,0.1,8.5,10.5,15.5,28.9,61.2,5.4,4.6,2.6,20.0,23.4,30.2,23.8,71605,3.3,1.5,95.2,29372,85.23752865724484,1.0,NY,100.0,NE
13597,11378,2330,2380,2690,3380,3640,37828,41.5,49.7,50.3,56.5,0.8,1.0,14.8,0.0,11.4,34.8,61.2,35.4,48.9,9.9,5.7,16.8,32.8,24.2,17.7,8.5,44616,13.2,8.6,78.2,19941,52.71492016495718,1.0,NY,100.0,NE
1635,21791,920,1000,1190,1520,1770,4734,40.9,52.0,48.0,93.9,1.8,0.1,2.4,0.0,1.4,1.1,1.9,30.0,54.9,11.9,3.2,5.6,43.2,24.9,15.3,11.0,47255,6.6,3.4,90.0,3165,66.85678073510773,1.0,MD,100.0,NE
14661,19468,1320,1490,1800,2190,2550,28050,40.6,47.9,52.1,85.6,2.6,0.1,6.8,0.1,3.2,3.0,8.9,29.9,53.0,11.7,5.5,5.3,24.1,22.8,31.9,16.0,55544,6.1,3.5,90.4,21126,75.31550802139037,1.0,PA,100.0,NE
13477,10475,1820,1850,2110,2660,2860,42771,44.1,45.8,54.2,8.1,64.0,0.7,1.9,0.0,9.3,30.2,31.7,47.3,31.2,14.1,7.4,13.8,29.3,29.3,17.0,10.6,37105,15.4,7.9,76.7,25205,58.93011620022913,1.0,NY,100.0,NE
13503,10913,2300,2360,2660,3340,3600,5333,38.6,49.4,50.6,75.2,2.7,0.0,6.6,0.0,14.1,13.4,16.2,34.5,52.0,5.9,7.6,5.6,20.0,25.3,27.3,21.7,56055,9.5,2.3,88.2,3506,65.74160885055316,1.0,NY,100.0,NE
13479,10505,1820,1980,2410,2990,3300,1295,44.6,47.0,53.0,76.3,0.6,0.0,9.2,0.0,8.0,12.2,22.5,24.4,54.0,6.0,15.6,3.6,21.3,10.8,33.5,30.9,61122,1.8,4.4,93.8,958,73.97683397683397,1.0,NY,100.0,NE
2631,14034,700,740,870,1080,1210,2175,43.8,61.4,38.6,82.5,11.3,0.9,1.2,0.0,1.6,3.2,4.3,34.0,43.1,13.2,9.7,12.6,46.0,26.0,9.2,6.2,37451,5.7,5.2,89.1,1884,86.62068965517241,1.0,NY,100.0,NE
13323,11804,1770,2200,2640,3390,3730,4613,39.8,49.7,50.3,76.1,0.4,0.0,19.5,0.0,4.0,4.0,16.2,25.2,64.1,5.4,5.4,0.9,14.0,15.0,36.9,33.1,67240,1.5,1.9,96.6,3619,78.45220030349014,1.0,NY,100.0,NE
13540,11206,1920,1970,2220,2790,3000,89231,30.7,47.1,52.9,42.2,20.5,0.9,6.6,0.2,10.7,36.4,56.2,56.4,30.6,9.4,3.7,23.2,23.7,16.9,25.2,11.1,32694,33.1,10.1,56.8,53494,59.95001737064472,1.0,NY,100.0,NE
20373,10535,1510,1720,2060,2560,2820,323,54.5,44.0,56.0,45.2,14.6,0.0,0.0,0.0,0.0,40.2,34.8,23.6,26.9,49.5,0.0,8.4,6.2,24.0,14.2,47.3,43750,26.0,0.0,74.0,138,42.72445820433436,1.0,NY,100.0,NE
8253,17980,660,760,970,1230,1320,3222,43.7,47.0,53.0,96.8,0.3,0.1,0.2,0.0,2.2,2.3,3.3,33.1,43.3,16.6,7.0,11.6,51.9,22.9,8.8,4.8,33890,6.6,11.1,82.3,2851,88.48541278708876,1.0,PA,100.0,NE
20224,13636,710,810,1070,1430,1680,184,34.6,45.1,54.9,96.7,0.5,0.0,1.1,0.0,1.6,0.0,7.9,26.9,52.9,14.3,5.9,13.3,44.8,27.6,10.5,3.8,28438,20.1,14.7,65.2,163,88.58695652173914,1.0,NY,100.0,NE
14955,15042,1250,1310,1580,2010,2200,7859,54.4,46.5,53.5,95.8,0.7,0.2,0.1,0.0,3.2,1.3,3.7,27.3,57.8,7.0,7.9,4.1,33.1,29.0,21.2,12.7,41232,9.1,11.2,79.7,6742,85.7869958009925,1.0,PA,100.0,NE
14677,19520,740,840,1030,1260,1440,6324,49.4,45.9,54.1,92.7,0.9,0.0,0.5,0.0,5.4,4.0,2.5,26.9,56.2,9.2,7.6,8.5,32.0,23.2,23.8,12.4,45067,3.6,5.8,90.6,5037,79.64895635673625,1.0,PA,100.0,NE
14672,19505,830,970,1230,1530,1650,3038,58.6,52.0,48.0,93.4,2.8,0.0,0.5,0.0,2.8,1.1,3.0,17.6,67.6,10.3,4.5,11.9,41.8,26.5,10.8,8.9,43716,4.9,1.8,93.3,2553,84.03554970375247,1.0,PA,100.0,NE
496,18216,770,880,1110,1420,1490,1317,39.5,45.3,54.7,87.2,1.0,0.0,0.0,0.0,6.8,12.7,14.4,33.9,49.3,8.4,8.4,6.1,52.9,32.9,5.1,3.1,29964,13.6,7.3,79.1,1063,80.71374335611237,1.0,PA,100.0,NE
18524,16802,1100,1120,1290,1580,1730,13499,19.3,48.3,51.7,75.8,5.1,0.3,12.4,0.0,6.2,7.3,18.5,99.3,0.5,0.2,0.0,0.0,34.1,0.0,65.9,0.0,3798,23.7,0.0,76.3,6661,49.34439588117638,1.0,PA,100.0,NE
10348,17563,970,1120,1400,1780,1880,3806,30.3,47.6,52.4,86.3,0.7,0.0,0.0,0.0,12.4,12.7,26.6,27.2,56.3,12.0,4.5,23.7,43.0,23.9,4.6,4.8,34536,8.5,7.7,83.8,3117,81.89700472937467,1.0,PA,100.0,NE
15255,16002,750,790,950,1210,1320,15722,47.6,49.7,50.3,95.0,2.1,0.9,0.2,0.0,1.9,2.0,1.8,27.1,57.3,9.8,5.7,3.9,36.7,33.2,17.4,8.9,38117,5.7,6.2,88.2,13979,88.91362422083704,1.0,PA,100.0,NE
478,18087,1030,1180,1490,1910,2000,609,41.0,42.9,57.1,66.8,21.2,0.0,4.9,0.0,4.1,43.0,52.0,32.0,47.4,6.6,14.0,3.5,42.5,22.4,15.1,16.5,33047,12.5,2.3,85.2,246,40.39408866995074,1.0,PA,100.0,NE
8206,17033,900,1030,1300,1660,1750,17009,41.7,48.3,51.7,73.5,3.5,0.0,8.7,0.0,5.6,11.8,17.9,35.6,49.7,7.9,6.8,9.7,20.0,23.9,26.8,19.5,48639,11.3,3.9,84.8,8828,51.90193427009231,1.0,PA,100.0,NE
16352,14618,1030,1170,1460,1780,1960,24621,40.0,48.3,51.7,80.9,4.4,0.2,8.0,0.0,5.6,3.4,11.8,36.2,52.0,7.8,4.0,2.4,5.9,15.3,32.3,44.1,48887,5.5,2.5,92.0,15858,64.40843182648959,1.0,NY,100.0,NE
438,18036,810,920,1160,1470,1570,14625,48.9,50.9,49.1,88.6,1.4,0.0,2.3,0.0,5.6,3.9,4.7,21.1,65.5,7.4,6.0,4.5,30.3,20.4,25.2,19.6,52429,3.2,2.0,94.8,11064,75.65128205128205,1.0,PA,100.0,NE
6571,18346,880,890,1170,1610,1910,2316,43.2,54.6,45.4,53.9,28.2,0.0,0.1,0.0,12.4,18.5,23.3,25.0,58.4,13.8,2.9,17.8,36.6,27.0,9.1,9.4,40625,10.1,2.1,87.9,506,21.848013816925736,1.0,PA,100.0,NE
2701,14221,1150,1200,1410,1730,1940,55153,47.4,48.3,51.7,85.0,1.7,0.1,7.7,0.0,4.1,3.1,12.2,26.2,54.0,11.4,8.4,3.7,14.7,24.6,26.9,30.1,52250,6.8,3.9,89.3,42246,76.59782786067848,1.0,NY,100.0,NE
20411,10704,1390,1610,1960,2430,2690,31844,40.7,47.1,52.9,55.5,9.1,0.0,5.6,0.0,15.0,32.2,46.2,35.9,46.4,9.1,8.6,12.1,29.7,21.5,21.4,15.4,48759,10.8,4.8,84.4,18049,56.67943725662605,1.0,NY,100.0,NE
1628,21771,1330,1450,1720,2200,2570,32827,41.4,50.9,49.1,83.8,4.5,0.5,2.0,0.0,5.0,8.8,10.9,25.6,61.0,9.4,4.0,4.8,22.7,26.4,25.6,20.5,62794,3.5,1.9,94.7,18577,56.59061138696805,1.0,MD,100.0,NE
20367,10526,1830,2120,2590,3210,3550,2040,43.2,43.8,56.2,79.7,0.4,0.0,9.6,0.0,9.1,5.9,23.2,22.6,67.4,8.0,2.0,2.7,9.3,9.1,33.0,45.7,100065,1.5,0.2,98.3,1215,59.55882352941176,1.0,NY,100.0,NE
13637,12564,1820,1850,2110,2660,2860,7910,46.7,50.2,49.8,76.8,3.5,0.0,1.3,0.1,10.9,14.3,13.8,29.3,52.5,11.2,7.0,6.7,28.5,25.1,24.2,15.6,56792,4.6,4.7,90.7,5240,66.24525916561315,1.0,NY,100.0,NE
1536,21117,1260,1470,1810,2350,2690,61337,36.3,44.8,55.2,31.2,54.5,0.0,4.1,0.1,5.7,8.3,16.7,37.0,45.3,13.5,4.2,5.2,17.8,29.2,25.3,22.5,51473,5.5,6.7,87.7,35467,57.823173614620856,1.0,MD,100.0,NE
14964,15052,730,760,920,1170,1280,2905,44.7,48.4,51.6,94.2,1.1,0.0,0.8,0.0,3.1,0.8,2.4,27.9,51.7,13.5,7.0,5.0,39.6,36.8,13.5,5.2,34728,8.9,7.7,83.4,2346,80.75731497418245,1.0,PA,100.0,NE
10372,19363,940,1060,1280,1560,1810,17929,37.0,54.6,45.4,74.6,4.1,0.0,1.2,0.0,14.8,25.7,22.3,30.6,52.4,11.9,5.2,15.7,28.3,23.1,18.2,14.6,42071,13.2,3.5,83.3,10161,56.67354565229517,1.0,PA,100.0,NE
15534,10975,1240,1360,1750,2230,2470,254,28.5,61.4,38.6,22.0,66.9,0.0,0.0,0.0,11.0,69.3,14.2,73.3,26.7,0.0,0.0,21.0,26.1,46.6,6.3,0.0,56875,12.2,0.0,87.8,225,88.58267716535433,1.0,NY,100.0,NE
220,12066,1000,1120,1360,1660,1830,1830,38.5,48.7,51.3,90.2,0.1,0.0,0.2,0.0,9.0,1.9,1.2,23.5,54.0,13.5,8.9,8.3,43.7,26.7,16.0,5.4,43253,5.8,12.3,81.9,1625,88.79781420765028,1.0,NY,100.0,NE
2038,13803,730,760,970,1270,1370,3936,37.4,47.6,52.4,96.4,0.0,0.1,0.3,0.1,3.0,1.1,5.1,28.6,52.2,13.0,6.1,13.8,38.4,33.9,7.9,6.0,34594,14.1,10.9,75.0,3242,82.3678861788618,1.0,NY,100.0,NE
259,12156,810,900,1090,1350,1480,939,30.4,51.7,48.3,98.3,1.7,0.0,0.0,0.0,0.0,10.0,2.8,41.9,32.9,13.8,11.4,2.8,27.0,43.6,20.1,6.5,50871,8.3,0.0,91.7,623,66.3471778487753,1.0,NY,100.0,NE
13293,11765,2310,2880,3450,4430,4870,808,46.3,52.2,47.8,90.0,0.0,0.0,6.7,0.0,3.3,21.4,13.8,21.3,72.7,4.9,1.0,4.0,5.3,11.6,35.9,43.1,73125,4.3,0.2,95.4,594,73.51485148514851,1.0,NY,100.0,NE
8231,17074,680,780,980,1250,1320,7075,43.0,50.9,49.1,94.7,1.6,0.0,0.4,0.0,2.6,1.6,2.7,25.9,53.4,13.9,6.8,9.0,47.4,24.7,12.1,6.7,42731,8.9,5.2,85.9,6145,86.85512367491167,1.0,PA,100.0,NE
9395,16630,640,640,820,1050,1200,4771,42.1,48.2,51.8,94.5,1.5,0.0,0.3,0.0,2.8,0.9,1.9,38.4,40.9,12.8,7.8,7.2,43.2,28.1,13.4,8.2,31078,9.4,8.5,82.1,4126,86.48082163068538,1.0,PA,100.0,NE
8213,17040,700,810,1020,1300,1370,2494,38.4,51.1,48.9,95.3,0.5,0.0,0.3,0.0,3.7,1.3,8.8,24.1,54.6,13.2,8.1,15.6,50.3,20.5,7.8,5.9,44194,11.8,6.3,81.9,2234,89.57497995188453,1.0,PA,100.0,NE
19478,13431,750,760,950,1160,1370,1929,39.6,53.7,46.3,94.1,0.3,0.3,1.5,0.0,3.9,3.4,5.5,25.1,61.5,9.0,4.4,6.1,40.7,30.0,10.2,12.9,45039,10.3,11.5,78.2,1580,81.90772420943495,1.0,NY,100.0,NE
18531,16828,980,990,1150,1410,1540,4774,50.4,44.6,55.4,94.3,0.0,0.0,1.0,0.0,4.5,0.6,1.3,24.3,56.9,13.5,5.4,7.1,40.7,23.7,14.4,14.1,40952,5.1,8.3,86.7,4135,86.6149979053205,1.0,PA,100.0,NE
7475,17019,760,860,1090,1420,1520,19294,44.2,48.6,51.4,92.5,1.4,0.0,0.8,0.1,3.9,2.2,4.4,22.8,61.4,11.4,4.3,5.4,35.4,25.0,21.6,12.6,44446,7.3,3.5,89.2,15474,80.20109878718773,1.0,PA,100.0,NE
2398,17888,660,760,910,1110,1220,497,48.1,48.7,51.3,98.6,0.0,0.0,0.4,0.0,1.0,0.0,0.8,30.4,45.6,17.0,7.0,2.1,50.9,11.7,29.1,6.1,40000,19.3,24.5,56.1,428,86.11670020120724,1.0,PA,100.0,NE
15542,12501,980,1070,1380,1760,1950,2374,44.0,50.7,49.3,66.7,0.0,0.0,3.9,0.0,13.9,24.9,22.8,32.0,48.7,13.8,5.5,10.0,30.9,21.1,19.3,18.8,39670,7.9,3.7,88.4,907,38.2055602358888,1.0,NY,100.0,NE
14684,19706,1010,1140,1380,1680,1950,2059,40.3,52.7,47.3,76.1,7.8,0.1,0.0,0.0,14.5,9.2,1.3,31.0,49.5,14.3,5.2,6.8,43.3,28.5,18.0,3.4,39643,9.5,6.6,83.8,1261,61.24332200097135,1.0,PA,100.0,NE
13351,11960,1450,1810,2170,2790,3060,1037,50.7,45.7,54.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,75.3,6.3,1.6,0.0,25.1,5.8,41.1,28.1,91290,0.0,4.6,95.4,954,91.99614271938285,1.0,NY,100.0,NE
17813,18256,720,840,1030,1330,1450,164,63.2,62.2,37.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,55.6,3.3,23.2,3.3,51.7,21.2,23.8,0.0,27250,3.0,3.0,93.9,164,100.0,1.0,PA,100.0,NE
13590,11370,2300,2350,2650,3330,3590,28762,40.3,54.8,45.2,34.3,7.5,1.3,25.1,0.1,13.5,39.0,65.3,42.5,41.8,9.7,6.0,23.2,34.5,17.6,17.4,7.4,40487,10.8,8.0,81.2,12808,44.530978374243794,1.0,NY,100.0,NE
15178,15612,680,720,860,1100,1200,510,38.4,43.1,56.9,89.4,0.0,0.0,0.0,0.0,10.6,6.9,0.0,28.1,60.8,6.1,5.1,6.8,47.1,34.6,11.5,0.0,33063,11.4,0.0,88.6,493,96.66666666666669,1.0,PA,100.0,NE
1508,21050,1180,1370,1690,2190,2510,17848,43.2,50.9,49.1,93.1,1.2,0.0,1.2,0.0,3.5,1.4,4.8,23.5,61.1,7.4,8.1,4.3,21.1,27.9,28.0,18.8,57269,3.6,1.9,94.5,13382,74.97758852532496,1.0,MD,100.0,NE
2626,14028,890,930,1100,1350,1510,1377,54.0,49.7,50.3,92.5,0.8,0.0,0.7,0.0,5.9,7.6,0.7,19.7,52.8,21.9,5.7,4.4,48.5,28.7,10.4,8.0,37677,5.6,5.0,89.4,1175,85.33042846768338,1.0,NY,100.0,NE
18551,16875,940,950,1100,1400,1480,3692,46.9,49.1,50.9,95.3,0.1,0.0,2.8,0.0,1.5,0.8,8.4,25.1,63.6,6.8,4.5,6.3,33.4,27.3,20.4,12.6,39627,7.9,9.2,82.9,3010,81.52762730227519,1.0,PA,100.0,NE
